W, [2018-07-11T09:15:11.512881 #3074]  WARN -- default-centos-72: Deprecated configuration detected:
require_chef_omnibus
Run 'kitchen doctor' for details.

I, [2018-07-11T09:15:36.595176 #3074]  INFO -- default-centos-72: Starting Chef Client, version 13.8.5
I, [2018-07-11T09:15:37.286788 #3074]  INFO -- default-centos-72: [2018-07-11T13:15:37+00:00] WARN: Plugin Network: unable to detect ipaddress
I, [2018-07-11T09:15:38.104836 #3074]  INFO -- default-centos-72: Creating a new client identity for default-centos-72 using the validator key.
I, [2018-07-11T09:15:38.223515 #3074]  INFO -- default-centos-72: resolving cookbooks for run list: ["lcd_web::default"]
I, [2018-07-11T09:15:38.243212 #3074]  INFO -- default-centos-72: Synchronizing Cookbooks:
I, [2018-07-11T09:15:38.251268 #3074]  INFO -- default-centos-72:   - lcd_web (0.8.0)
I, [2018-07-11T09:15:38.251850 #3074]  INFO -- default-centos-72: Installing Cookbook Gems:
I, [2018-07-11T09:15:38.254116 #3074]  INFO -- default-centos-72: Compiling Cookbooks...
I, [2018-07-11T09:15:38.259651 #3074]  INFO -- default-centos-72: Converging 8 resources
I, [2018-07-11T09:15:38.260217 #3074]  INFO -- default-centos-72: Recipe: lcd_web::users
I, [2018-07-11T09:15:38.360331 #3074]  INFO -- default-centos-72:   * group[developers] action create
I, [2018-07-11T09:15:38.362105 #3074]  INFO -- default-centos-72:     - create group developers
I, [2018-07-11T09:15:38.456167 #3074]  INFO -- default-centos-72:   * linux_user[webadmin] action create
I, [2018-07-11T09:15:38.457371 #3074]  INFO -- default-centos-72:     - create user webadmin
I, [2018-07-11T09:15:38.458254 #3074]  INFO -- default-centos-72: Recipe: lcd_web::default
I, [2018-07-11T09:15:53.062442 #3074]  INFO -- default-centos-72:   * yum_package[net-tools] action install
I, [2018-07-11T09:15:53.063406 #3074]  INFO -- default-centos-72:     - install version 2.0-0.22.20131004git.el7 of package net-tools
I, [2018-07-11T09:16:14.133487 #3074]  INFO -- default-centos-72:   * yum_package[httpd] action install
I, [2018-07-11T09:16:14.134474 #3074]  INFO -- default-centos-72:     - install version 2.4.6-80.el7.centos.1 of package httpd
I, [2018-07-11T09:16:14.306802 #3074]  INFO -- default-centos-72:   * service[httpd] action enable
